trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
23,-10,14,64,5,fault,63e119da,8949184ac8510eddf44a3aaf237cb2aa,0x4a184989,0xdd0e51c8,0xaf3a4af4,0xaab27c23,63b11b5222a11b57,8949184a22a11b57,4,0;1;2;3,ea;f8;03;18
24,-10,14,64,5,fault,27c0ee79,4eb2d2cf5841306bc74c8e7fa5f750f5,0xcfd2b24e,0x6b304158,0x7f8e4cc7,0xf550f7a5,2781fe1825323c98,4eb2d2cf25323c98,4,0;1;2;3,69;33;2c;d7
25,-10,14,64,5,fault,c5f593f5,3116b2ee1c341fbbba0f5b599285dd91,0xeeb21631,0xbb1f341c,0x595b0fba,0x91dd8592,d5f18e64fdf30a24,3116b2eefdf30a24,4,0;1;2;3,e4;e7;3c;8a
26,-10,14,64,5,fault,cb7d5f40,9ff385a2f547b9e8bf17328e6f89a5f8,0xa285f39f,0xe8b947f5,0x8e3217bf,0xf8a5896f,ae7cfea8eee8eaea,9ff385a2eee8eaea,4,0;1;2;3,31;8f;7b;0a
27,-10,14,64,5,fault,dc151a55,941840eec575616c7884c7925680b764,0xee401894,0x6c6175c5,0x92c78478,0x64b78056,98153b3198111bb3,941840ee98111bb3,4,0;1;2;3,0c;0d;7b;df
28,-10,14,64,5,fault,00aba7da,38fa494f3873defd32d7a623c3979454,0x4f49fa38,0xfdde7338,0x23a6d732,0x549497c3,00b8338e00b821bc,38fa494f00b821bc,4,0;1;2;3,38;42;7a;c1
29,-10,14,64,5,fault,9b68a4f2,dcda52bfca635b4f306ca40838c34340,0xbf52dadc,0x4f5b63ca,0x08a46c30,0x4043c338,932be7b29382e6f2,dcda52bf9382e6f2,4,0;1;2;3,4f;f1;b5;0d
30,-10,14,64,5,fault,95756e89,a8ce16605aeac67795023900ed97d807,0x6016cea8,0x77c6ea5a,0x00390295,0x07d897ed,ddf7ae8eadf36e89,a8ce1660adf36e89,4,0;1;2;3,75;39;b8;ee
31,-10,14,64,5,fault,66348d5e,1e486a14aff416dd237cd4499c6f49a4,0x146a481e,0xdd16f4af,0x49d47c23,0xa4496f9c,ea508dda5b409113,1e486a145b409113,4,0;1;2;3,f4;18;e7;ce
32,-10,14,64,5,fault,1d9cc5bb,0f8bed63a4a8d9945d2c54383e29e412,0x63ed8b0f,0x94d9a8a4,0x38542c5d,0x12e4293e,39b405ab1ab53589,0f8bed631ab53589,4,0;1;2;3,36;3f;e8;c8
33,-10,14,64,5,fault,2f9d8cef,b182e9caf818796b970991ed90d42f02,0xcae982b1,0x6b7918f8,0xed910997,0x022fd490,bf8da5edbe15354c,b182e9cabe15354c,4,0;1;2;3,0e;0f;4c;27
34,-10,14,64,5,fault,190fb064,caf6db5abf29022130ee4a0680dd3da7,0x5adbf6ca,0x210229bf,0x064aee30,0xa73ddd80,9906b045a915e164,caf6db5aa915e164,4,0;1;2;3,53;f0;6b;1f
35,-10,14,64,5,fault,32c8de9c,8bd9ad21eb23c5f54f41d474c6e226e7,0x21add98b,0xf5c523eb,0x74d4414f,0xe726e2c6,f0eada79f048bae9,8bd9ad21f048bae9,4,0;1;2;3,7b;33;77;58
36,-10,14,64,5,fault,8133a5a6,abe6b307f9b4030e2e15f280e29cd5b9,0x07b3e6ab,0x0e03b4f9,0x80f2152e,0xb9d59ce2,61a7a4ae21a784a7,abe6b30721a784a7,4,0;1;2;3,ca;41;17;a9
37,-10,14,64,5,fault,88de672b,8da53ceca873c5c41715be2618c71c69,0xec3ca58d,0xc4c573a8,0x26be1517,0x691cc718,809d636b854fc363,8da53cec854fc363,4,0;1;2;3,0d;38;5f;87
38,-10,14,64,5,fault,aa8f9806,fc6c3a2de35d30ac99dc3a09b5c8039a,0x2d3a6cfc,0xac305de3,0x093adc99,0x9a03c8b5,0bc7988e07d7900f,fc6c3a2d07d7900f,4,0;1;2;3,f7;ab;a2;a3
39,-10,14,64,5,fault,4f90966f,d453bcd8b648a24a14680abea86b8f7e,0xd8bc53d4,0x4aa248b6,0xbe0a6814,0x7e8f6ba8,efd81425cfdb10a5,d453bcd8cfdb10a5,4,0;1;2;3,3b;8b;a8;fd
40,-10,14,64,5,fault,a34810ca,69d2d14b8174add2e9da1962061c8e93,0x4bd1d269,0xd2ad7481,0x6219dae9,0x938e1c06,a35c9c584bda88c9,69d2d14b4bda88c9,4,0;1;2;3,ca;8e;4d;13
41,-10,14,64,5,fault,48095a42,e6fc024326de2e483cbdf934ae67c8cc,0x4302fce6,0x482ede26,0x34f9bd3c,0xccc867ae,6e4f520aee4d7202,e6fc0243ee4d7202,4,0;1;2;3,88;b3;50;49
42,-10,14,64,5,fault,93f0576b,bf0ed5f1877e6fcd988fb37638464f6d,0xf1d50ebf,0xcd6f7e87,0x76b38f98,0x6d4f4638,93b61826b3f6a03e,bf0ed5f1b3f6a03e,4,0;1;2;3,2c;b8;cd;d7
43,-10,14,64,5,fault,1c47412d,5815ac9eed99eb09b8d362344cd393ab,0x9eac1558,0x09eb99ed,0x3462d3b8,0xab93d34c,50d6c224e4d683b3,5815ac9ee4d683b3,4,0;1;2;3,08;c3;6e;ba
44,-10,14,64,5,fault,7d42bae7,1124af3b8c14f3a44717397087deb592,0x3baf2411,0xa4f3148c,0x70391747,0x92b5de87,f9560b67795607e5,1124af3b795607e5,4,0;1;2;3,e8;72;a4;5c
45,-10,14,64,5,fault,57425713,1e900d41af1f8b1e9363605468f21318,0x410d901e,0x1e8b1faf,0x54606393,0x1813f268,7f50540bced15647,1e900d41ced15647,4,0;1;2;3,61;c0;59;4a
46,-10,14,64,5,fault,990086f8,9a69767faf40e4703fb1d7153cec219e,0x7f76699a,0x70e440af,0x15d7b13f,0x9e21ec3c,b540a6e8b44934e3,9a69767fb44934e3,4,0;1;2;3,2f;29;d0;97
47,-10,14,64,5,fault,8c5ca48a,8d35fc6835e06c5fba7bedcf6b56e49b,0x68fc358d,0x5f6ce035,0xcfed7bba,0x9be4566b,ad1cc0913d19c085,8d35fc683d19c085,4,0;1;2;3,20;29;3c;f9
48,-10,14,64,5,fault,1a3d6b3d,072f641aadd793a2e73b38e5656046cd,0x1a642f07,0xa293d7ad,0xe5383be7,0xcd466065,3f7d69bdbd251f95,072f641abd251f95,4,0;1;2;3,38;52;0d;a7
49,-10,14,64,5,fault,d3c90a0f,a740388c80efae2699f8155996e4d962,0x8c3840a7,0x26aeef80,0x5915f899,0x62d9e496,532d822d54210607,a740388c54210607,4,0;1;2;3,f4;6d;ba;a1
50,-10,14,64,5,fault,ffbab524,b42856f2aa54af6595b7b5d540d5a4db,0xf25628b4,0x65af54aa,0xd5b5b795,0xdba4d540,ffee1165eb8e0063,b42856f2eb8e0063,4,0;1;2;3,4b;c6;47;97
51,-10,14,64,5,fault,8d69caf7,c4072d0d7aa8499d020289dcc82e678c,0x0d2d07c4,0x9d49a87a,0xdc890202,0x8c672ec8,c5418b7b4f6def6b,c4072d0d4f6def6b,4,0;1;2;3,01;46;a6;76
52,-10,14,64,5,fault,a5b35695,0cbd86a8912c6c23c09dd6ac7e788177,0xa886bd0c,0x236c2c91,0xacd69dc0,0x7781787e,b59b56b6291a143d,0cbd86a8291a143d,4,0;1;2;3,b9;26;d0;1e
53,-10,14,64,5,fault,c240b26b,acc8ca8f4537a5d1164fcd642b4e6b48,0x8fcac8ac,0xd1a53745,0x64cd4f16,0x486b4e2b,c346932bea47b527,acc8ca8fea47b527,4,0;1;2;3,6f;8e;59;a4
54,-10,14,64,5,fault,7e230c2d,7417734bfadbfab6b3cb39bf5a9e0533,0x4b731774,0xb6fadbfa,0xbf39cbb3,0x33059e5a,24b90c1facfd0493,7417734bacfd0493,4,0;1;2;3,50;ae;7f;54
55,-10,14,64,5,fault,695d21f0,8934dc0129054f411f76886dde4b860d,0x01dc3489,0x414f0529,0x6d88761f,0x0d864bde,615c27f1e16d25b1,8934dc01e16d25b1,4,0;1;2;3,e8;68;fb;f0
56,-10,14,64,5,fault,49100196,40a73897f854d124369dda0cdf907139,0x9738a740,0x24d154f8,0x0cda9d36,0x397190df,910050b63901f987,40a738973901f987,4,0;1;2;3,d1;a7;68;21
57,-10,14,64,5,fault,c020fb66,3ed4e1f39d5688fe816957f62c974135,0xf3e1d43e,0xfe88569d,0xf6576981,0x3541972c,cc36fb526db4fb53,3ed4e1f36db4fb53,4,0;1;2;3,f2;e2;1a;a1
58,-10,14,64,5,fault,eb787e8a,a1b471d4dbe9eecb7f4465fa25dc1ab1,0xd471b4a1,0xcbeee9db,0xfa65447f,0xb11adc25,eab0740bb0a86b00,a1b471d4b0a86b00,4,0;1;2;3,4b;04;05;df
59,-10,14,64,5,fault,9bb43725,bf7622f5270a5f612dd377fb0cc562ea,0xf52276bf,0x615f0a27,0xfb77d32d,0xea62c50c,9fb475459fa06055,bf7622f59fa06055,4,0;1;2;3,20;c2;57;b0
60,-10,14,64,5,fault,627d8d2b,0523fd62ae7e338919bcedbe33688d16,0x62fd2305,0x89337eae,0xbeedbc19,0x168d6833,40158c2b6a41cc83,0523fd626a41cc83,4,0;1;2;3,45;36;71;49
61,-10,14,64,5,fault,66b70647,9a3b25e134052504730dd276396af406,0xe1253b9a,0x04250534,0x76d20d73,0x06f46a39,56b722435c912223,9a3b25e15c912223,4,0;1;2;3,cc;8c;07;a2
62,-10,14,64,5,fault,718d438a,5ed18f34cb2b74fa09cbea4120fadd61,0x348fd15e,0xfa742bcb,0x41eacb09,0x61ddfa20,71a717ea709724ea,5ed18f34709724ea,4,0;1;2;3,2f;76;98;de
63,-10,14,64,5,fault,a3f844fd,01cb338f967d8d7e3620aa712051eae6,0x8f33cb01,0x7e8d7d96,0x71aa2036,0xe6ea5120,a3a9cc9bb599cc0a,01cb338fb599cc0a,4,0;1;2;3,a2;62;ff;14
64,-10,14,64,5,fault,7609ab75,04685f5f877ff7d96f2ad600990894a9,0x5f5f6804,0xd9f77f87,0x00d62a6f,0xa9940899,f7013ffc75033f7c,04685f5f75033f7c,4,0;1;2;3,f3;69;60;a3
65,-10,14,64,5,fault,0a5717f5,515931ed4dab59410142c0a0655673c4,0xed315951,0x4159ab4d,0xa0c04201,0xc4735665,4f5546b54b456691,515931ed4b456691,4,0;1;2;3,1e;0c;77;58
66,-10,14,64,5,fault,25421da3,b192b6b0e4e1d3f78df7f12919428df7,0xb0b692b1,0xf7d3e1e4,0x29f1f78d,0xf78d4219,25029c543133f812,b192b6b03133f812,4,0;1;2;3,94;90;2a;e4
67,-10,14,64,5,fault,584c8113,9754290d57ce162574ddd64bb158d712,0x0d295497,0x2516ce57,0x4bd6dd74,0x12d758b1,490497138984961b,9754290d8984961b,4,0;1;2;3,de;50;be;1e
68,-10,14,64,5,fault,574cb022,56cdea48dd00090bd967f1783db3a2e7,0x48eacd56,0x0b0900dd,0x78f167d9,0xe7a2b33d,4a4cb021ca88f322,56cdea48ca88f322,4,0;1;2;3,1c;81;5a;69
69,-10,14,64,5,fault,b2ef480a,432d8a46a10d5156a1286c63289c7f83,0x468a2d43,0x56510da1,0x636c28a1,0x837f9c28,92e3190812c30a08,432d8a4612c30a08,4,0;1;2;3,d1;ce;93;4e
70,-10,14,64,5,fault,33a87d95,409e5f3715f6f3e6ed4d0453ffbe2dd6,0x375f9e40,0xe6f3f615,0x53044ded,0xd62dbeff,261e5c53367e74d2,409e5f37367e74d2,4,0;1;2;3,66;80;03;64
71,-10,14,64,5,fault,9b04c535,9ec987c4efb30f9a87514af5cf871466,0xc487c99e,0x9a0fb3ef,0xf54a5187,0x661487cf,5487c13714d5c925,9ec987c414d5c925,4,0;1;2;3,ca;4e;46;f3
72,-10,14,64,5,fault,7c8fb525,6503bb551afe5f60318cf64f9cd69cb7,0x55bb0365,0x605ffe1a,0x4ff68c31,0xb79cd69c,6459a9054901c935,6503bb554901c935,4,0;1;2;3,01;5a;12;50
73,-10,14,64,5,fault,204bb3f9,d378be0b4693af9ecef4e55fe3af2723,0x0bbe78d3,0x9eaf9346,0x5fe5f4ce,0x2327afe3,62c894fb678394ef,d378be0b678394ef,4,0;1;2;3,b1;b0;2a;f0
74,-10,14,64,5,fault,cefa3f79,1c335b6e15abf2ca20a39dda9d3bbb0a,0x6e5b331c,0xcaf2ab15,0xda9da320,0x0abb3b9d,dbd18d73d249adf3,1c335b6ed249adf3,4,0;1;2;3,c7;e2;d6;1d
75,-10,14,64,5,fault,b5464741,891d5e65f1f3969be88cdb497fbb9aa8,0x655e1d89,0x9b96f3f1,0x49db8ce8,0xa89abb7f,c4f5d5c9d4d39529,891d5e65d4d39529,4,0;1;2;3,4d;e8;8b;ac
76,-10,14,64,5,fault,1185f85e,b51271a8bae92603b63dccb8c9d40a25,0xa87112b5,0x0326e9ba,0xb8cc3db6,0x250ad4c9,9945fa5f96acbcd6,b51271a896acbcd6,4,0;1;2;3,2c;57;8b;f7
77,-10,14,64,5,fault,9441d2e5,28763b7c9567ea68582071db5bff932d,0x7c3b7628,0x68ea6795,0xdb712058,0x2d93ff5b,852650cd843790d9,28763b7c843790d9,4,0;1;2;3,ad;50;6b;b1
78,-10,14,64,5,fault,714d9537,ba734619f5f03444ddba58f4f773e218,0x194673ba,0x4434f0f5,0xf458badd,0x18e273f7,843db5378ebc877b,ba7346198ebc877b,4,0;1;2;3,3e;4e;f3;2e
79,-10,14,64,5,fault,df16600e,8957779cbf85fae927bc86f3560dbefb,0x9c775789,0xe9fa85bf,0xf386bc27,0xfbbe0d56,c913dae7f983d2e7,8957779cf983d2e7,4,0;1;2;3,40;44;ad;7b
80,-10,14,64,5,fault,e941a564,efd89f910ab4d1c4b41093c3de48e45d,0x919fd8ef,0xc4d1b40a,0xc39310b4,0x5de448de,e341652083092334,efd89f9183092334,4,0;1;2;3,0c;99;fa;b1
81,-10,14,64,5,fault,3755b26e,38d47017c529fef0685b2cccabd6492a,0x1770d438,0xf0fe29c5,0xcc2c5b68,0x2a49d6ab,b655fa4e77d8fea8,38d4701777d8fea8,4,0;1;2;3,8e;81;8a;59
82,-10,14,64,5,fault,13786e27,f59fa69d70838c993991779494677660,0x9da69ff5,0x998c8370,0x94779139,0x60766794,037b6a27866f6a23,f59fa69d866f6a23,4,0;1;2;3,f6;e4;cc;ba
83,-10,14,64,5,fault,2ee0efc9,3d3a10280ea1781a664dc1cf28508cca,0x28103a3d,0x1a78a10e,0xcfc14d66,0xca8c5028,26e0e7c324f9afc3,3d3a102824f9afc3,4,0;1;2;3,1b;da;f7;eb
84,-10,14,64,5,fault,87237192,66594e4a915750a84c2f4c6e285d9bb8,0x4a4e5966,0xa8505791,0x6e4c2f4c,0xb89b5d28,8776613ae37477f8,66594e4ae37477f8,4,0;1;2;3,e1;2f;2f;70
85,-10,14,64,5,fault,4e1e2912,319560125b26d3ef549d2726880563a0,0x12609531,0xefd3265b,0x26279d54,0xa0630588,461a6ab20e8a6a36,319560120e8a6a36,4,0;1;2;3,77;8f;0a;a0
86,-10,14,64,5,fault,2b8a4dc4,82bd9ab14269f1b7789f99abc8991129,0xb19abd82,0xb7f16942,0xab999f78,0x291199c8,6b835ce5eb8754e7,82bd9ab1eb8754e7,4,0;1;2;3,e9;3e;c6;54
87,-10,14,64,5,fault,e2869df3,dd258162eebfe70f2fe917411af7db5c,0x628125dd,0x0fe7bfee,0x4117e92f,0x5cdbf71a,e8315effd92b1af2,dd258162d92b1af2,4,0;1;2;3,35;14;df;9d
88,-10,14,64,5,fault,b3606b7b,4c34ad9499837d9925a976e0535d5219,0x94ad344c,0x997d8399,0xe076a925,0x19525d53,a2613b62f6d53b6b,4c34ad94f6d53b6b,4,0;1;2;3,ee;55;96;f6
89,-10,14,64,5,fault,174712bb,17b067402a6b3ba631faa10b0afed018,0x4067b017,0xa63b6b2a,0x0ba1fa31,0x18d0fe0a,1d2d02bb242d52b9,17b06740242d52b9,4,0;1;2;3,0a;9d;65;fb
90,-10,14,64,5,fault,e4679d12,672071245521e631c17597a1fdb26df5,0x24712067,0x31e62155,0xa19775c1,0xf56db2fd,b147f92381466b37,6720712481466b37,4,0;1;2;3,d6;67;88;07
91,-10,14,64,5,fault,ce2a7753,b62238d7f7b1ebb43eb440dbdffb6f42,0xd73822b6,0xb4ebb1f7,0xdb40b43e,0x426ffbdf,199b1c5358981f52,b62238d758981f52,4,0;1;2;3,af;b9;24;84
92,-10,14,64,5,fault,afc39c7f,2075e807d9f477e92ceece7c8d5eb7eb,0x07e87520,0xe977f4d9,0x7cceee2c,0xebb75e8d,2697ab968717b210,2075e8078717b210,4,0;1;2;3,06;e2;43;91
93,-10,14,64,5,fault,08d35eb0,d7ec0d9540c8e856988febb80f9eca6e,0x950decd7,0x56e8c840,0xb8eb8f98,0x6eca9e0f,085b96f69f5bb734,d7ec0d959f5bb734,4,0;1;2;3,df;b7;9b;63
94,-10,14,64,5,fault,fb297287,fe06b2bb74195417fd8ca44b0246e221,0xbbb206fe,0x17541974,0x4ba48cfd,0x21e24602,fb293286712374ae,fe06b2bb712374ae,4,0;1;2;3,05;2f;80;3d
95,-10,14,64,5,fault,f40075e1,87b6939107e6debef115bcf6fe22f12d,0x9193b687,0xbedee607,0xf6bc15f1,0x2df122fe,f222a5cdf232e8c6,87b69391f232e8c6,4,0;1;2;3,75;94;36;5c
96,-10,14,64,5,fault,ee525bf8,96aab70245653d5e2bfd3db43a9c72b7,0x02b7aa96,0x5e3d6545,0xb43dfd2b,0xb7729c3a,ee566beeff1761ee,96aab702ff1761ee,4,0;1;2;3,78;fc;dc;ec
97,-10,14,64,5,fault,4376fb70,b91482717c5fe059e4d06dc4de3074a8,0x718214b9,0x59e05f7c,0xc46dd0e4,0xa87430de,1f669b781f269b50,b91482711f269b50,4,0;1;2;3,a6;72;19;09
98,-10,14,64,5,fault,9ffb6ac3,15a9630b04ae6bc097918283f90812b0,0x0b63a915,0xc06bae04,0x83829197,0xb01208f9,9ff368439ff26840,15a9630b9ff26840,4,0;1;2;3,8a;5a;0b;48
99,-10,14,64,5,fault,0bd0511e,616478fcc2a41fff209e8e6e9dbfba7d,0xfc786461,0xff1fa4c2,0x6e8e9e20,0x7dbabf9d,8b744b632a746f60,616478fc2a746f60,4,0;1;2;3,ea;10;33;9f
100,-10,14,64,5,fault,c674919e,a08f0fe29f6f2a2c077883907f00b72a,0xe20f8fa0,0x2c2a6f9f,0x90837807,0x2ab7007f,d974b3b6e114973c,a08f0fe2e114973c,4,0;1;2;3,79;fb;bc;54
101,-10,14,64,5,fault,aa0d7f2d,5a386f1dd8846395eeab0654bebf5a3d,0x1d6f385a,0x956384d8,0x5406abee,0x3d5abfbe,32893d38329d3130,5a386f1d329d3130,4,0;1;2;3,68;b1;52;25
102,-10,14,64,5,fault,7de880b6,c23d094c434f0b2110c3b55ed22bd035,0x4c093dc2,0x210b4f43,0x5eb5c310,0x35d02bd2,3fe38097bf8380fe,c23d094cbf8380fe,4,0;1;2;3,fd;de;89;db
103,-10,14,64,5,fault,971b0656,4ab56563f1421e2c871e6207043f8981,0x6365b54a,0x2c1e42f1,0x07621e87,0x81893f04,97190e5614386550,4ab5656314386550,4,0;1;2;3,dd;ac;6b;35
104,-10,14,64,5,fault,5b78a227,868b5d9371aaf7223d1a0a23579e81c5,0x935d8b86,0x22f7aa71,0x230a1a3d,0xc5819e57,0af2232768f2a987,868b5d9368f2a987,4,0;1;2;3,8c;79;7e;b4
105,-10,14,64,5,fault,ae4aa14f,fafe57979ac41d0aae64f1e48b489ec2,0x9757fefa,0x0a1dc49a,0xe4f164ae,0xc29e488b,240abd4d0422f749,fafe57970422f749,4,0;1;2;3,de;f4;ea;da
106,-10,14,64,5,fault,2903a60f,aa8ab87b4b19ea24543a16fded6e5a27,0x7bb88aaa,0x24ea194b,0xfd163a54,0x275a6eed,600bec2bc11bac71,aa8ab87bc11bac71,4,0;1;2;3,ca;81;54;50
107,-10,14,64,5,fault,83b1ba35,adab9ae932ece9806534345547e69518,0xe99aabad,0x80e9ec32,0x55343465,0x1895e647,81553b3583171a7c,adab9ae983171a7c,4,0;1;2;3,2c;fe;a1;dc
108,-10,14,64,5,fault,a4160fc4,eeec756b34b5174fc0eb0e32f83892f7,0x6b75ecee,0x4f17b534,0x320eebc0,0xf79238f8,94261d838c771d87,eeec756b8c771d87,4,0;1;2;3,7a;ca;68;e8
109,-10,14,64,5,fault,9a9ef8b2,3e0b6891a7246055c0e7c257c414bdeb,0x91680b3e,0x556024a7,0x57c2e7c0,0xebbd14c4,1e9ad8f31eb9d077,3e0b68911eb9d077,4,0;1;2;3,20;91;b0;62
110,-10,14,64,5,fault,c9a1cec4,a8ad889e996be7b220b9bbf5e49441ff,0x9e88ada8,0xb2e76b99,0xf5bbb920,0xff4194e4,49a18f7649a5e57e,a8ad889e49a5e57e,4,0;1;2;3,e1;0c;07;e8
111,-10,14,64,5,fault,730c015c,345c3edff0eb86a6ae68b3d007e37afb,0xdf3e5c34,0xa686ebf0,0xd0b368ae,0xfb7ae307,73ef03fef36c8bd7,345c3edff36c8bd7,4,0;1;2;3,47;b3;3d;21
112,-10,14,64,5,fault,1d7e83da,cc79490bcf73a1bc58d73f1837f9f5eb,0x0b4979cc,0xbca173cf,0x183fd758,0xebf5f937,1a0f22721905eac1,cc79490b1905eac1,4,0;1;2;3,d6;76;6b;79
113,-10,14,64,5,fault,02d92187,bd1b1f3fa300f95290e1bc8405155944,0x3f1f1bbd,0x52f900a3,0x84bce190,0x44591505,03d978c717c99c87,bd1b1f3f17c99c87,4,0;1;2;3,be;c2;67;f8
114,-10,14,64,5,fault,c5c126d6,1c99be01c802443b5a6a51174fb22468,0x01be991c,0x3b4402c8,0x17516a5a,0x6824b24f,8dc322fe995b52c4,1c99be01995b52c4,4,0;1;2;3,91;5a;9c;ff
115,-10,14,64,5,fault,6be3e54c,ec1e207184f7a6faf5c522a115342f6b,0x71201eec,0xfaa6f784,0xa122c5f5,0x6b2f3415,6fd7c3260f36c7ac,ec1e20710f36c7ac,4,0;1;2;3,83;c9;e3;57
116,-10,14,64,5,fault,69e55fc5,811283e361cfdc2fc1f10d1dbe62b701,0xe3831281,0x2fdccf61,0x1d0df1c1,0x01b762be,49a7cbc42936d1c8,811283e32936d1c8,4,0;1;2;3,c8;b5;48;27
